ID,DEFCON_Level
1,4
10,4
14,3
17,3
21,2
40,2
45,3
50,3
52,2
85,2
95,4
106,3
111,2
123,4
129,2
130,2
132,3
137,2
159,2
161,3
162,3
166,2
170,3
173,2
177,2
180,3
182,2
183,2
184,3
188,4
190,3
191,2
201,2
203,2
206,2
217,2
220,3
221,3
225,3
229,2
231,2
232,2
234,3
236,3
237,2
240,2
245,2
250,2
252,2
254,3
261,3
265,2
266,2
271,2
273,3
274,2
275,2
280,2
285,2
292,3
304,3
311,4
316,2
317,2
318,2
321,2
322,2
327,2
332,4
338,2
356,3
364,2
372,4
379,3
380,2
384,1
388,3
390,2
401,3
408,3
413,2
416,2
426,2
428,2
432,2
433,2
437,3
440,2
444,3
447,3
451,2
461,2
469,3
470,2
481,2
483,4
490,2
491,3
494,4
495,3
497,3
504,2
509,3
511,4
513,2
514,3
518,3
520,4
526,3
529,4
530,2
532,3
536,2
543,3
553,1
559,2
561,2
563,3
566,2
593,2
595,4
597,2
602,3
604,2
615,3
617,4
618,2
622,4
626,1
633,3
636,2
642,4
648,2
651,3
653,2
658,4
659,2
660,2
662,2
665,3
674,2
676,2
682,2
686,3
687,2
692,2
699,4
703,4
706,2
708,2
714,2
719,2
721,4
725,2
728,2
733,3
735,2
736,3
745,3
762,2
768,2
773,2
777,2
781,3
782,3
797,3
801,2
815,2
818,3
824,2
832,2
834,2
842,2
850,2
855,3
860,3
865,2
867,2
868,3
873,2
876,3
882,2
886,2
887,2
888,3
889,2
898,2
902,2
908,2
909,2
914,3
927,3
940,3
944,2
950,2
951,2
953,3
956,3
967,2
977,3
978,2
979,4
982,2
989,3
990,2
999,3
1005,3
1011,2
1013,2
1015,2
1018,3
1021,1
1022,2
1024,2
1025,4
1031,2
1036,2
1048,3
1050,3
1055,2
1057,3
1072,2
1075,2
1082,2
1102,3
1103,3
1109,2
1114,3
1116,3
1123,3
1127,3
1135,3
1143,3
1144,3
1147,1
1149,3
1155,2
1158,2
1160,2
1164,3
1170,3
1175,2
1179,4
1186,3
1193,2
1197,2
1198,2
1207,2
1213,3
1217,2
1226,3
1227,3
1234,3
1238,2
1240,2
1242,2
1250,2
1251,2
1256,3
1258,2
1269,3
1270,2
1271,4
1272,2
1279,3
1282,2
1284,3
1285,3
1286,3
1294,2
1305,3
1310,3
1312,3
1325,2
1333,2
1343,2
1347,3
1348,3
1350,3
1355,3
1357,3
1371,2
1378,2
1393,3
1398,3
1405,2
1406,3
1407,3
1421,2
1431,3
1432,3
1437,3
1439,3
1440,3
1441,2
1442,2
1448,3
1450,4
1453,3
1454,3
1460,4
1461,3
1473,3
1481,2
1488,3
1499,2
1502,2
1505,3
1511,2
1516,3
1523,2
1527,3
1560,3
1566,2
1567,3
1568,2
1569,2
1570,1
1576,4
1589,2
1592,2
1598,3
1599,3
1600,3
1607,3
1608,2
1611,2
1613,3
1623,2
1647,3
1649,1
1658,2
1662,2
1668,2
1676,2
1678,2
1682,3
1690,2
1701,3
1710,3
1723,4
1725,2
1747,2
1748,2
1754,4
1756,2
1757,3
1770,2
1774,2
1776,3
1789,3
1794,3
1804,3
1806,3
1807,2
1811,2
1814,2
1826,3
1832,4
1835,2
1839,3
1840,3
1848,2
1849,2
1850,3
1854,4
1861,2
1866,2
1868,2
1872,3
1875,3
1877,3
1879,4
1880,3
1892,2
1896,3
1898,3
1899,2
1903,2
1909,3
1912,2
1920,2
1933,3
1940,2
1941,3
1944,2
1946,3
1950,2
1955,2
1957,3
1958,3
1965,2
1971,2
1974,3
1980,3
1984,3
1990,3
1991,3
1994,2
1997,3
2006,1
2008,3
2013,3
2015,4
2016,3
2021,2
2023,3
2038,3
2040,2
2048,2
2063,2
2073,4
2075,2
2081,2
2082,4
2086,2
2090,2
2091,2
2094,2
2096,2
2097,3
2101,3
2103,3
2106,2
2107,2
2113,2
2122,2
2123,2
2132,2
2134,4
2141,2
2145,4
2147,3
2149,3
2155,2
2161,2
2177,2
2179,4
2182,3
2192,3
2195,2
2196,2
2197,2
2199,3
2204,2
2206,2
2212,1
2215,3
2217,2
2220,2
2222,2
2227,2
2239,2
2241,3
2246,4
2254,2
2255,3
2259,2
2263,2
2264,2
2269,3
2281,3
2284,2
2285,3
2292,2
2293,1
2299,4
2301,2
2302,4
2303,2
2307,2
2315,2
2316,3
2317,2
2320,2
2322,3
2334,3
2336,3
2342,3
2343,2
2349,3
2354,3
2357,2
2364,3
2370,3
2379,3
2389,2
2400,2
2402,2
2406,3
2427,3
2429,2
2435,2
2438,3
2439,3
2449,4
2454,2
2455,2
2462,3
2471,3
2472,4
2475,2
2476,2
2483,2
2485,3
2488,3
2492,3
2494,4
2504,3
2510,2
2516,2
2517,2
2519,3
2527,2
2529,1
2540,2
2546,3
2553,2
2554,2
2558,3
2572,2
2585,3
2587,2
2597,2
2599,3
2600,3
2601,2
2608,3
2613,2
2616,2
2619,2
2620,3
2621,2
2622,3
2623,2
2634,3
2636,2
2640,2
2643,2
2646,3
2651,3
2653,4
2654,3
2657,2
2658,3
2664,4
2667,3
2668,2
2680,2
2682,3
2692,2
2693,2
2695,2
2697,3
2698,4
2703,2
2718,1
2728,3
2729,2
2736,3
2737,3
2738,1
2739,4
2746,2
2750,2
2755,3
2764,2
2767,2
2769,3
2772,2
2777,3
2778,2
2779,2
2780,3
2785,2
2793,3
2801,2
2814,3
2821,3
2828,2
2834,2
2844,3
2848,2
2850,4
2852,3
2860,2
2861,3
2864,2
2868,2
2886,2
2887,2
2890,4
2892,2
2907,3
2908,3
2909,2
2914,4
2917,4
2923,3
2924,3
2934,3
2937,3
2945,2
2948,2
2950,2
2953,2
2955,2
2959,3
2971,3
2974,3
2987,3
2994,2
2995,3
3003,2
3013,3
3014,2
3015,2
3028,3
3041,2
3053,3
3057,3
3059,3
3060,3
3069,4
3071,3
3072,4
3082,2
3084,2
3086,3
3098,3
3100,2
3102,4
3110,2
3111,3
3118,2
3119,2
3125,4
3133,2
3136,2
3141,3
3149,3
3150,4
3155,2
3156,2
3160,2
3163,2
3175,2
3180,2
3188,2
3192,2
3193,3
3197,2
3201,2
3204,3
3206,3
3210,3
3212,2
3216,4
3239,2
3240,3
3246,2
3247,2
3252,3
3259,3
3262,3
3264,4
3275,2
3280,3
3282,4
3289,4
3294,3
3297,4
3299,3
3302,2
3308,2
3311,4
3315,3
3317,3
3319,3
3326,2
3330,2
3331,2
3333,3
3337,3
3344,2
3359,2
3369,3
3372,3
3373,3
3374,2
3384,2
3385,2
3395,3
3399,3
3401,3
3406,3
3410,3
3420,3
3422,3
3428,4
3431,2
3434,3
3436,2
3440,2
3443,3
3451,3
3454,2
3455,4
3456,2
3462,2
3463,2
3464,3
3470,2
3477,2
3485,2
3486,3
3489,4
3490,2
3501,2
3503,2
3510,2
3517,2
3518,2
3525,2
3526,3
3530,2
3532,2
3546,3
3548,2
3568,2
3571,3
3573,2
3577,2
3587,2
3596,3
3604,2
3606,2
3613,4
3620,3
3632,3
3638,2
3640,2
3643,4
3644,3
3645,2
3648,2
3657,2
